Conference,School,Abbr,Team,Color,Lat,Long,K,Logo,,ESPN
MAC,Ohio,OHIO,Bobcats,#CDA077 ,39.321,-82.10296,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/195.gif,,http://espn.go.com/college-football/team/_/id/195/ohio-bobcats
Big Ten,Ohio St.,OSU,Buckeyes,#BB0000 ,40.001648,-83.019731,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/194.gif,,http://espn.go.com/college-football/team/_/id/194/ohio-St.-buckeyes
Big 12,Oklahoma,OU,Sooners,#841617 ,35.205847,-97.442313,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/795px-Oklahoma_Sooners_logo.svg.png,,http://espn.go.com/college-football/team/_/id/201/oklahoma-sooners
Big 12,Oklahoma St.,OSU,Cowboys,#FF7300 ,36.125689,-97.066453,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/197.gif,,http://espn.go.com/college-football/team/_/id/197/oklahoma-St.-cowboys
Conference USA,Old Dominion,,Monarchs,#003057 ,36.888911,-76.304885,1,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Old_Dominion_Athletics_logo.svg/1200px-Old_Dominion_Athletics_logo.svg.png,,
SEC,Ole Miss,MISS,Rebels,#13294B ,34.361971,-89.534229,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/145.gif,,http://espn.go.com/college-football/team/_/id/145/ole-miss-rebels
Pac-12,Oregon,ORE,Ducks,#154733 ,44.058277,-123.06851,1,https://cdn.bleacherreport.net/images/team_logos/328x328/oregon_ducks_football.png,,http://espn.go.com/college-football/team/_/id/2483/oregon-ducks
Pac-12,Oregon St.,ORST,Beavers,#dc4405 ,44.559537,-123.281379,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/204.gif,,http://espn.go.com/college-football/team/_/id/204/oregon-St.-beavers
Big Ten,Penn St.,PSU,Nittany Lions,#EEEEEE ,40.812212,-77.856112,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/213.gif,,http://espn.go.com/college-football/team/_/id/213/penn-St.-nittany-lions
ACC,Pittsburgh,PITT,Panthers,#cdb87d ,40.44679,-80.015768,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/221.gif,,http://espn.go.com/college-football/team/_/id/221/pittsburgh-panthers
Big Ten,Purdue,PUR,Boilermakers,#080808,40.434432,-86.918436,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2509.gif,,http://espn.go.com/college-football/team/_/id/2509/purdue-boilermakers
Conference USA,Rice,RICE,Owls,#C1C6C8 ,29.716329,-95.409317,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/242.gif,,http://espn.go.com/college-football/team/_/id/242/rice-owls
Big Ten,Rutgers,RUTG,Scarlet Knights,#5F6A72 ,40.513563,-74.465303,1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rutgers_Scarlet_Knights_logo.svg/1200px-Rutgers_Scarlet_Knights_logo.svg.png,,http://espn.go.com/college-football/team/_/id/164/rutgers-scarlet-knights
Mountain West,San Diego St.,SDSU,Aztecs,#2B2F37 ,32.783143,-117.119561,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/21.gif,,http://espn.go.com/college-football/team/_/id/21/san-diego-St.-aztecs
Mountain West,San Jose St.,SJST,Spartans,#0055A2 ,37.319725,-121.868291,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/23.gif,,http://espn.go.com/college-football/team/_/id/23/san-jose-St.-spartans
American,SMU,SMET,Mustangs,#354CA1,32.837744,-96.782753,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2567.gif,,http://espn.go.com/college-football/team/_/id/2567/southern-methodist-mustangs
Sun Belt,South Ala.,,Jaguars,#BF0D3E ,30.67307,-88.075614,1,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/South_Alabama_Jaguars_logo.svg/1200px-South_Alabama_Jaguars_logo.svg.png,,
SEC,South Carolina,USCE,Gamecocks,#73000A ,33.97309,-81.019183,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2579.gif,,http://espn.go.com/college-football/team/_/id/2579/south-carolina-gamecocks
Conference USA,Southern Miss.,SMIS,Golden Eagles,#FFAB00 ,31.329019,-89.33123,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2572.gif,,http://espn.go.com/college-football/team/_/id/2572/southern-miss-golden-eagles
Pac-12,Stanford,STAN,Cardinal ,#8C1515 ,37.434501,-122.161095,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/24.gif,,http://espn.go.com/college-football/team/_/id/24/stanford-cardinal
ACC,Syracuse,SYR,Orangemen,#D44500 ,43.036219,-76.136372,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/183.gif,,http://espn.go.com/college-football/team/_/id/183/syracuse-orange
Big 12,TCU,TCU,Horded Frogs,#4d1979 ,32.709638,-97.368092,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2628.gif,,http://espn.go.com/college-football/team/_/id/2628/tcu-horned-frogs
American,Temple,TEMP,Owls,#9D2235 ,39.900797,-75.167458,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/218.gif,,http://espn.go.com/college-football/team/_/id/218/temple-owls
SEC,Tennessee,TENN,Volunteers,#58595B ,35.957992,-83.924975,1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/2000px-Tennessee_Volunteers_logo.svg.png,,http://espn.go.com/college-football/team/_/id/2633/tennessee-volunteers
SEC,Texas A&M,TAMU,Aggies,#500000 ,30.609797,-96.340385,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/245.gif,,http://espn.go.com/college-football/team/_/id/245/texas-aggies
Big 12,Texas,UT,Longhorns,#bf5700 ,30.283659,-97.732531,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/251.gif,,http://espn.go.com/college-football/team/_/id/251/texas-longhorns
Sun Belt,Texas St.,,Bobcats,#501214 ,29.891032,-97.92553,1,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Texas_State_Bobcats_logo.svg/200px-Texas_State_Bobcats_logo.svg.png,,
Big 12,Texas Tech,TTU,Red Raiders,#CC0000 ,33.591066,-101.87291,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2641.gif,,http://espn.go.com/college-football/team/_/id/2641/texas-tech-red-raiders
MAC,Toledo,TOLE,Rockets,#15397F ,41.65728,-83.613579,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2649.gif,,http://espn.go.com/college-football/team/_/id/2649/toledo-rockets
Sun Belt,Troy,TROY,Trojans,#9E0531 ,31.799559,-85.951844,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2653.gif,,http://espn.go.com/college-football/team/_/id/2653/troy-trojans
American,Tulane,TULE,Green Wave,#006747 ,29.944613,-90.116702,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2655.gif,,http://espn.go.com/college-football/team/_/id/2655/tulane-green-wave
American,Tulsa,TULS,Golden Hurricane,#002D72 ,36.148876,-95.943782,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/202.gif,,http://espn.go.com/college-football/team/_/id/202/tulsa-golden-hurricane
Conference USA,UAB,UAB,Blazers,#006341 ,33.511491,-86.842652,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/5.gif,,http://espn.go.com/college-football/team/_/id/5/uab-blazers
American,UCF,UCF,Golden Knights,#ba9b37 ,28.608262,-81.192621,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2116.gif,,http://espn.go.com/college-football/team/_/id/2116/ucf-knights
Pac-12,UCLA,UCLA,Bruins,#2d68c4 ,34.069912,-118.445338,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQD3n_d27o337gsVIYocsVwWb0pl-jFZV5hGG6M_7gRaqLhsfzQ,,http://espn.go.com/college-football/team/_/id/26/ucla-bruins
Sun Belt,La.-Monroe,,Warhawks,#800029,32.530923,-92.065978,1,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Louisiana%E2%80%93Monroe_Warhawks_logo.svg/1200px-Louisiana%E2%80%93Monroe_Warhawks_logo.svg.png,,
